Title,English Title,Type,Country,Year,Director and protagonist,Rating,Official Link
教父3,The Godfather: Part III,剧情犯罪,美国,1990,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,9.0,https://movie.douban.com/subject/1294240/
怪兽电力公司,"Monsters, Inc.",儿童喜剧动画奇幻冒险,美国,2001,导演:彼特·道格特PeteDocter,8.8,https://movie.douban.com/subject/1291579/
玩具总动员3,Toy Story 3,喜剧动画奇幻冒险,美国,2010,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks,8.9,https://movie.douban.com/subject/1858711/
傲慢与偏见,Pride & Prejudice,剧情爱情,法国英国美国,2005,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley,8.7,https://movie.douban.com/subject/1418200/
新世界,신세계,剧情犯罪,韩国,2013,导演:朴勋政Hoon-jungPark主演:李政宰Jung-JaeLee,8.9,https://movie.douban.com/subject/10437779/
萤火之森,蛍火の杜へ,剧情爱情动画奇幻,日本,2011,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura,8.9,https://movie.douban.com/subject/5989818/
茶馆,无,剧情历史,中国大陆,1982(中国大陆),导演:谢添TianXie主演:于是之ShizhiYu,9.6,https://movie.douban.com/subject/1461403/
被解救的姜戈,Django Unchained,剧情动作西部冒险,美国,2012,导演:昆汀·塔伦蒂诺QuentinTarantino主演:杰米·福克斯JamieFoxx,8.8,https://movie.douban.com/subject/6307447/
釜山行,부산행,动作惊悚灾难,韩国,2016,导演:延尚昊Sang-hoYeon主演:孔侑YooGong,8.6,https://movie.douban.com/subject/25986180/
神偷奶爸,Despicable Me,喜剧动画冒险,美国法国,2010,导演:皮艾尔·柯芬PierreCoffin,8.7,https://movie.douban.com/subject/3287562/
告白,无,剧情悬疑,日本,2010,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu,8.8,https://movie.douban.com/subject/4268598/
玛丽和马克思,Mary and Max,剧情喜剧动画,澳大利亚美国,2009,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette,9.0,https://movie.douban.com/subject/3072124/
哪吒闹海,无,冒险动画奇幻,中国大陆,1979,导演:王树忱ShuchenWang,9.2,https://movie.douban.com/subject/1307315/
色，戒,无,剧情爱情情色,中国台湾中国大陆美国中国香港,2007,导演:李安AngLee主演:梁朝伟TonyLeungChiuWai,8.7,https://movie.douban.com/subject/1828115/
九品芝麻官,无,剧情喜剧古装,中国香港中国大陆,1994,导演:王晶JingWong主演:周星驰StephenChow,8.7,https://movie.douban.com/subject/1297518/
大鱼,Big Fish,剧情家庭奇幻冒险,美国,2003,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor,8.8,https://movie.douban.com/subject/1291545/
喜宴,囍宴,剧情喜剧爱情同性家庭,中国台湾美国,1993,导演:李安AngLee主演:赵文瑄WinstonChao,9.0,https://movie.douban.com/subject/1303037/
模仿游戏,The Imitation Game,剧情传记战争同性,英国美国,2014,导演:莫滕·泰杜姆MortenTyldum主演:本尼迪克特·康伯巴奇BenedictC...,8.8,https://movie.douban.com/subject/10463953/
